# chisq_ny, 15 columns indicate eta_r= 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, and 2.5.
0.569	0.507	0.437	2.270	0.469	0.474	0.476	0.480	0.479	0.478	0.474	0.477	0.476	0.479	0.461
0.562	0.494	0.951	0.470	0.470	0.471	0.480	0.481	0.479	0.481	0.477	0.478	0.478	0.481	0.467
0.562	0.484	0.489	0.472	0.469	0.477	0.485	0.483	0.480	0.489	0.479	0.483	0.482	0.484	0.477
0.565	0.546	0.488	0.472	0.471	0.485	0.483	0.486	0.485	0.489	0.484	0.482	0.484	0.483	0.485
0.637	0.547	0.491	0.473	0.478	0.480	0.481	0.492	0.487	0.489	0.485	0.483	0.487	0.487	0.482
0.635	0.550	0.497	0.475	0.475	0.482	0.488	0.495	0.483	0.490	0.487	0.481	0.488	0.488	0.482
0.635	0.639	0.492	0.487	0.475	0.484	0.494	0.495	0.487	0.493	0.488	0.487	0.489	0.485	0.484
0.635	0.551	0.878	0.477	0.478	0.645	0.500	0.498	0.489	0.493	0.489	0.489	0.490	0.489	0.485
0.636	0.573	0.557	0.479	0.480	0.486	0.500	0.501	0.491	0.498	0.492	0.491	0.488	0.496	0.487
0.643	1.205	1.566	0.480	0.481	0.486	0.501	0.504	0.520	0.502	0.494	0.489	0.493	0.493	0.489
