# chisq_ny, 15 columns indicate eta_r= 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, and 2.5.
0.717	0.442	0.411	0.448	0.473	0.459	0.469	0.470	0.468	0.468	0.456	0.464	0.463	0.466	0.447
0.592	0.453	0.469	0.453	0.452	0.464	0.472	0.474	0.468	0.467	0.461	0.468	0.466	0.468	0.447
0.554	0.463	0.484	0.458	0.456	0.465	0.474	0.475	0.468	0.472	0.469	0.466	0.468	0.476	0.466
0.553	0.535	0.469	0.453	0.454	0.465	0.493	0.475	0.470	0.475	0.469	0.473	0.470	0.473	0.467
0.692	0.558	0.474	0.457	0.456	0.468	0.478	0.480	0.471	0.479	0.473	0.471	0.475	0.478	0.527
0.845	0.540	0.473	0.473	0.457	0.475	0.487	0.481	0.472	0.479	0.474	0.474	0.475	0.473	0.472
0.682	0.587	0.474	0.457	0.461	0.472	0.485	0.483	0.474	0.501	0.477	0.473	0.475	0.479	0.474
0.682	0.543	0.501	0.463	0.460	0.472	0.484	0.486	0.479	0.482	0.479	0.476	0.477	0.478	0.474
0.682	0.545	0.498	0.459	0.462	0.475	0.486	0.489	0.504	0.481	0.479	0.480	0.478	0.480	0.476
2.117	0.546	0.481	1.085	0.465	0.476	0.488	0.519	0.510	0.483	0.479	0.480	0.481	0.481	0.478
